5	AAAAAAAAEAAAAAAA	1999-08-17	2001-08-15	site_0	2450781	2448956	Unknown	Harold Wilson	5	Wide, final representat	Deeply small books cannot extend all similar, clear historians. Free, new camp	Edward George	1	ought	805	2nd 3rd	Road	Suite R	Fairview	Williamson County	TN	31904	United States	-5.0	0.08
6	AAAAAAAAEAAAAAAA	2001-08-16	NULL	site_0	2450781	2448956	Unknown	Harold Wilson	5	Wide, final representat	Thin roles should run quickly. Patient parts include even in the ladies; only united trouser	John Sheppard	3	ought	63	Hickory 3rd	Ct.	Suite 130	Fairview	Williamson County	TN	31904	United States	-5.0	0.08
7	AAAAAAAAHAAAAAAA	1997-08-16	NULL	site_1	2450756	NULL	Unknown	Moses Hicks	4	New homes comment great. Possibilities re	Enough small animals emerge at a holidays. Managers expect only.	William Reyes	4	ese	784	Central 	Dr.	Suite Q	Fairview	Williamson County	TN	35709	United States	-5.0	0.12
8	AAAAAAAAIAAAAAAA	1997-08-16	2000-08-15	site_1	2450747	2448922	Unknown	Charles Parker	1	Only, temporary services 	Physical witnesses might not agree really already existing prayers. Loyal, possible m	Gerald Craft	5	anti	835	Washington 	Avenue	Suite 470	Midway	Williamson County	TN	31904	United States	-5.0	0.07
9	AAAAAAAAIAAAAAAA	2000-08-16	NULL	site_1	2450747	2448922	Unknown	Marshall Conner	6	Labour cars withdraw big, full issues	Physical witnesses might not agree really already existing prayers. Loyal, possible m	Scott Bryant	1	anti	835	11th 	Cir.	Suite R	Midway	Williamson County	TN	31904	United States	-5.0	0.07
10	AAAAAAAAKAAAAAAA	1997-08-16	1999-08-16	site_1	2450730	2447080	Unknown	Dwight Aaron	3	New, important system	Companies grow cells. Apart true eyes u	Frank Cooper	2	able	409	Lake 	Ct.	Suite 370	Midway	Williamson County	TN	31904	United States	-5.0	0.07
11	AAAAAAAAKAAAAAAA	1999-08-17	2001-08-15	site_1	2450730	2447080	Unknown	Dwight Aaron	3	Right efforts must no	Companies grow cells. Apart true eyes u	Casey Banks	2	able	409	Cedar 	Parkway	Suite 350	Fairview	Williamson County	TN	35709	United States	-5.0	0.07
12	AAAAAAAAKAAAAAAA	2001-08-16	NULL	site_1	2450730	2447080	Unknown	Richard Fuchs	3	Right efforts must no	Acres see else children. Mutual too	Casey Banks	2	able	409	Lincoln 	Pkwy	Suite D	Fairview	Williamson County	TN	35709	United States	-5.0	0.07
13	AAAAAAAANAAAAAAA	1997-08-16	NULL	site_2	2450705	NULL	Unknown	John Thomas	2	About rural reasons shall no	Political affairs ought to	James Brewer	5	anti	973	Cherry Main	Boulevard	Suite D	Midway	Williamson County	TN	31904	United States	-5.0	0.07
14	AAAAAAAAOAAAAAAA	1997-08-16	2000-08-15	site_2	2450696	2447046	Unknown	Robert Arnold	5	Necessary, intermediat	Associations may kill sole parents. Red, pink results rise nearly	Gilbert Chapman	5	anti	887	River 	Drive	Suite 390	Midway	Williamson County	TN	31904	United States	-5.0	0.07
15	AAAAAAAAOAAAAAAA	2000-08-16	NULL	site_2	2450696	2447046	Unknown	James Austin	5	Necessary, intermediat	Associations may kill sole parents. Red, pink results rise nearly	Zachery Oneil	5	anti	887	Broadway South	Road	Suite 260	Midway	Williamson County	TN	31904	United States	-5.0	0.08
16	AAAAAAAAABAAAAAA	1997-08-16	1999-08-16	site_2	2450679	2448854	Unknown	Herbert Hawes	6	Hard new suggestions might contain nat	Basic others will not appreciate so late, potential chil	Albert Leung	6	cally	841	West Cedar	Blvd	Suite D	Midway	Williamson County	TN	31904	United States	-5.0	0.04
17	AAAAAAAAABAAAAAA	1999-08-17	2001-08-15	site_2	2450679	2448854	Unknown	Charles Castillo	5	New, different roads know standa	Basic others will not appreciate so late, potential chil	Keith Frazier	6	cally	841	Wilson Ridge	Way	Suite 20	Midway	Williamson County	TN	31904	United States	-5.0	0.04
18	AAAAAAAAABAAAAAA	2001-08-16	NULL	site_2	2450679	2448854	Unknown	Charles Castillo	5	Broad, new groups show car	Basic others will not appreciate so late, potential chil	Keith Frazier	6	cally	841	Sycamore 	Wy	Suite 450	Fairview	Williamson County	TN	31904	United States	-5.0	0.01
19	AAAAAAAADBAAAAAA	1997-08-16	NULL	site_3	2450654	NULL	Unknown	Jimmy Pope	2	Leaders make as yet particular, desperate machi	Home new thoughts must get however thoughts; technical, oth	Eldon Snow	5	anti	184	Hill 5th	Parkway	Suite 280	Midway	Williamson County	TN	31904	United States	-5.0	0.04
20	AAAAAAAAEBAAAAAA	1997-08-16	2000-08-15	site_3	2450645	2448820	Unknown	Peter Cassidy	4	Just popular words shall 	Formerly long minds deal aside parties. Lef	Kelvin Lynch	3	pri	828	2nd 	Wy	Suite J	Midway	Williamson County	TN	31904	United States	-5.0	0.04
21	AAAAAAAAEBAAAAAA	2000-08-16	NULL	site_3	2450645	2448820	Unknown	Adam Stonge	5	As private emotions carry yet services. Wor	Formerly long minds deal aside parties. Lef	Jarvis Allen	4	pri	828	1st Maple	Blvd	Suite U	Fairview	Williamson County	TN	35709	United States	-5.0	0.07
22	AAAAAAAAGBAAAAAA	1997-08-16	1999-08-16	site_3	2450628	2446978	Unknown	Lewis Wolf	5	Severe, useful funds lift; just	Individual negotiations might join badly children. Brown features travel fiercely dramatic k	James Bernard	2	able	292	Elevnth Third	Wy	Suite 30	Midway	Williamson County	TN	31904	United States	-5.0	0.07
23	AAAAAAAAGBAAAAAA	1999-08-17	2001-08-15	site_3	2450628	2446978	Unknown	Jason Silva	4	Severe, useful funds lift; just	Individual negotiations might join badly children. Brown features travel fiercely dramatic k	Jeffrey Martin	2	able	292	Railroad 	Court	Suite 440	Fairview	Williamson County	TN	31904	United States	-5.0	0.01
24	AAAAAAAAGBAAAAAA	2001-08-16	NULL	site_3	2450628	2446978	Unknown	John Ward	4	Severe, useful funds lift; just	Individual negotiations might join badly children. Brown features travel fiercely dramatic k	Philip Sampson	2	able	292	Hickory Meadow	ST	Suite 460	Fairview	Williamson County	TN	31904	United States	-5.0	0.01
25	AAAAAAAAJBAAAAAA	1997-08-16	NULL	site_4	2450603	NULL	Unknown	Julio Davis	3	Continuous, social schools shou	Concerned, royal weeks should announce.	Donald Mckinney	1	ought	671	Willow 	Drive	Suite T	Fairview	Williamson County	TN	35709	United States	-5.0	0.01
26	AAAAAAAAKBAAAAAA	1997-08-16	2000-08-15	site_4	2450594	2446944	Unknown	William Carter	2	Also difficult women relax. Raw solutions exclude	Often well-known police can hand acres. Healthy, sensible problems make more silent recordings	Keith Williams	2	able	892	Cedar North	Drive	Suite 280	Midway	Williamson County	TN	31904	United States	-5.0	0.07
27	AAAAAAAAKBAAAAAA	2000-08-16	NULL	site_4	2450594	2446944	Unknown	William Carter	2	Also difficult women relax. Raw solutions exclude	Often well-known police can hand acres. Healthy, sensible problems make more silent recordings	John Isaacs	5	able	892	Spruce 	Wy	Suite 200	Fairview	Williamson County	TN	35709	United States	-5.0	0.12
28	AAAAAAAAMBAAAAAA	1997-08-16	1999-08-16	site_4	2450577	2448752	Unknown	Raymond Oneill	4	Hands look again nice years. Alre	Skills can want as common agencies. Appropriate issues can use. Over national lives may lear	Jeffrey Campbell	3	pri	730	Central 14th	Dr.	Suite Q	Midway	Williamson County	TN	31904	United States	-5.0	0.09
29	AAAAAAAAMBAAAAAA	1999-08-17	2001-08-15	site_4	2450577	2448752	Unknown	Raymond Oneill	4	Well-known, patient proposals m	Skills can want as common agencies. Appropriate issues can use. Over national lives may lear	Jeffrey Campbell	3	pri	247	Park 	Boulevard	Suite 100	Midway	Williamson County	TN	31904	United States	-5.0	0.12
30	AAAAAAAAMBAAAAAA	2001-08-16	NULL	site_4	2450577	2448752	Unknown	Raymond Oneill	4	Well-known, patient proposals m	Skills can want as common agencies. Appropriate issues can use. Over national lives may lear	Jeffrey Campbell	1	pri	247	South Third	Wy	Suite 210	Midway	Williamson County	TN	31904	United States	-5.0	0.05
2018-10-08 12:25:00 INFO  SparkSQLCLIDriver:951 - Time taken: 1.856 seconds, Fetched 30 row(s)
2018-10-08 12:25:01 INFO  AbstractConnector:318 - Stopped Spark@445821a6{HTTP/1.1,[http/1.1]}{0.0.0.0:4040}
2018-10-08 12:25:01 INFO  SparkUI:54 - Stopped Spark web UI at http://192.168.0.101:4040
